condition,review_body,rating,sentiment
Birth Control,posit experi nuvar birth control zero side effect never got pregnant stop use due financi reason insur cover super conveni high recommend far horror stori birth control method involv hormon serious serious side effect find dosag specif form hormon best rx carri risk bodi differ,9.0,Positive
Smoking Cessation,heavi smoker smoke year love cigarett realli want quit not get younger decid tri tri cold turkey joke start rd pill pack cannot believ urg almost complet gone even want one know sound unbeliev side effect awesom terrifi dream bad nausea help take eat thirst follow littl depress done way nonsmok high recommend stick realli not bad especi done realli work,9.0,Positive
Birth Control,experi nexplanon went well consid fact kept protect numb arm insert hurt abl sex week two afterward no worri not help irregular period may make period much longer normal unfortun howev extrem effect weight gain harsh side effect longer period clear skin promot breast growth,10.0,Positive
ibromyalgia,went sever fibromyalgia post spinal surgeri bed ridden part unabl walk cook wash dish unabl simpl day day task better everyth felt good sinc colleg savella thank,10.0,Positive
Opiate Dependence,best medic deal addict help keep sober also help lower back pain well,9.0,Positive
Anxiety,feel like ativan save life get prescrib sure go heart attack chest tight daili basi found day could bare breath without conscious think take ativan daili start feel symptom within minut forget uncomfort no side effect either would recommend anyon rather daili anti depress often prescrib anxieti,10.0,Positive
ibromyalgia,cymbalta mase vomit took mg day row thesam vomit given sampl doctor not sure take lyrica not help take mg day thank u would love feed back,3.0,Negative
Pain,mani injuri sustain militari one medicin use pain methadon great job take medicin prescrib howev night itch happen sometim day taken close last dose,9.0,Positive
Birth Control,small frame bodi constitut ft tall norm weight marri previous take ortho tri cyclen lo year gain extra pound normal weight said otc lo experienc kind side effect weight gain face swell fluid retent hair loss day period mood swing feel behav feminin switch lutera notic differ took day extraz around waist area disappear gain half cup size feel ladi like compar otc lo laugh previous pill affect period day relat painless agre bodi,10.0,Positive
Birth Control,mirena year love insert uncomfort not unbear readi go soon doctor done cramp hour afterward ibuprofen heat pad knock no time heavi bleed week light brownish spot week next month would brownish spot day half suppos get period breast would still get tender sinc no period no pms no period symptom gain weight put lazi oppos anyth iud husband say occasion feel sex,10.0,Positive
Opiate Withdrawal,medicin complet take away opiat withdraw symptom make exhaust recommend take night,10.0,Positive
"Hypothyroidism, After Thyroid Removal",felt horribl ten year sinc remov thyroid told metabol synthroid proper doctor tri everyth negat result recent came across publish paper nih websit mention tirosint doctor never heard will give tri two month ago never felt better know drug expens manufactur coupon onlin end pay would glad pay full price good,10.0,Positive
Birth Control,nexplanon insert may st period day later finish pill ever sinc no spot bleed thing notic sweat tmi pungent smell broken spot noth unmanag far good,7.0,Neutral
Raynaud's Syndrome,help ton night prone white purpl hand feet prescrib nightmar sleep problem relat anxieti work happen ad bonus work raynaud phenomenon,9.0,Positive
ADHD,work well sure not take even night morn noon though caus sleepless,10.0,Positive
Birth Control,take pill almost month first birth control ever taken period alway came time day month pill period almost day still heavi bleed not mention start actual peroid anoth week two say face realli clear though usual break bad anyway also notic weight gain yet sex drive still high anyth continu bleed time,6.0,Neutral
Schizophrenia,put med hospit start breath issu thought bronchiti rapid weight gain went refil med first month pharmacist notic invega bad interact one med refus fill step breath issu lessen still problem weight day take insatis hungri made feel better mental rest rubbish,3.0,Negative
Urinary Tract Infection,took first pill no food no stomach upset mild chill st night min feel great rd day no side effect,10.0,Positive
Birth Control,pill month half time lost feel like half thick hair clump fall everyday decid stop pill see true caus day later hair stop fall would not recommend pill anyon,4.0,Negative
"Diabetes, Type 2",experienc sever increas blood pressur anxieti panic attach small ischem stroke weak numb tingl muscl muscl cramp bad tast mouth headach confus,4.0,Negative
Bipolar Disorde,reckless heart pound nose bled everi day worst antipsychot tri,1.0,Negative
Anxiety,may isol incid took medic week horribl memori loss unawar chanc memori loss medic tri work way back old self use photograph memori high suggest sever anxieti like not take medic,1.0,Negative
Birth Control,first implant novemb period sinc second implant light irregular period complet erad happier monogam sexual partner ejacul insid never anyth close pregnanc scare birth control honest best thing ever happen honest numb shot wors actual incis insert remov left small bruis tell affect mood psych med reason start nexplanon no weight gain acn either thing miracl,10.0,Positive
Depression,prozac realli work kept depress control along anxieti side affect forget sex also experienc short term memori loss,8.0,Positive
Depression,notic differ first week posit differ three week later began feel felt told parent think need mg current overal think drug work well need find correct mg bodi,8.0,Positive
Migraine Prevention,chronic daili migrain tri sever medic migrain prevent includ depakot elavil amitriptylin nortriptylin propranolol depakot amitriptylin nortriptylin sedat propranolol work well increas dosag time point blood pressur becam low right combin topamax mg propranolol extend releas mg work best advers effect topamax caus frustrat cognit difficulti think live consid relief give migrain,8.0,Positive
Bacterial Infection,prescrib day take two food not lie minut afterward continu day next day find provok nausea headach indigest clear skin irrit reason put strong dose suspect bacteria symptom face clear sinus situat long time lessen lead confirm alway suspect allergi caus poor immun system not heard read testimoni not take vitamin continu take may caus stomach irrit,9.0,Positive
Anxiety,prescrib buspar anxieti panic disord medicin seem much better option ssri drug side effect experienc dizzi tingl fingertip vivid dream occasion stomach ach take mg time day also compliment medicin occasion mg xanax need week notic big differ amount anxieti elimin symptom use work way panic stage far medicin daili exercis self educ therapi seem make progress would recommend give tri,9.0,Positive
ADHD,place vyvans extrem weight loss adderal start mg up mg up mg x day got appetit back medic realli noth els went rage huge anger problem no reason anyth could set could bare sleep focus work school basic gain back weight lost everyth els suck make month doctor switch adderal xr,2.0,Negative
Bowel Preparation,famili histori colon cancer bout colon cancer get colonoscopi everi year past april told use miralax first time prep not suffici proceed procedur even though follow instruct exact,1.0,Negative
Depression,good depress not anxieti depress histori general anxieti got wors menopaus differ ssri side effect aw depress return doctor tri wellbutrin sl caus agit loss appetit muscl tremor sleep disturb worst not help anxieti help depress tri someth els week,5.0,Neutral
Birth Control,month sex drive gone sinc start sex hurt tri emot constant gain bunch weight period month spot,3.0,Negative
Emergency Contraception,took pill hour sex easi purchas counter nervous take read side effect day almost no side effect day later start develop sore breast feel bit nauseat mild nausea notic bled week expect period day expect period week later start bleed heavili last week last period start nippl sore stop nausea cramp abdomin pain increas final get better work not pregnant definit mess hormon cycl lot,8.0,Positive
Birth Control,take pill month start get moodi tire start get depress depress point use start cri sudden without no reason usual happi posit person,1.0,Negative
Neuropathic Pain,realli help nerv pain make face look bloat,7.0,Neutral
"Diabetes, Type 2",let result speak c weight loss pound without diet weight came back need exercis eat less,10.0,Positive
Polycystic Ovary Syndrome,recent went back pill took pill first time year ago no side effect kid recent went back far still happi generess fe made face breakout bad mircett clear no complaint feel great pill also pcos help hope continu work well far,8.0,Positive
Hyperphosphatemia of Renal Failure,find auryxia superior phoslo renvella particular addit iron allow stop take iv iron avoid anemia renvella also caus excess fart auryexia caus flatul less heck keryx make enough meet demand,8.0,Positive
Muscle Spasm,prescrib flexeril time sever pull muscl use muscl relax lower pain spasm abl stretch muscl bit loosen pt took muscl tight ach work great day overdid definit not pill take day unless becom accustom attest efficaci short term use week doubt well would work long term,8.0,Positive
Depression,take lexapro month realli work year old work mother two got depress due alot factor includ balanc work famili tri hard make end meet cri alot suffer terribl tension headach sinc start lexapro much better kid better abl cope life throw side effect notic littl weight gain lack sex drive make husband happi get,8.0,Positive
ADHD,year battl behavior problem son not bad child no concentr span would fidget annoy other fall way behind children age final manag get seen specialist ritalin mg month chang unbeliev alreadi catch school work make friend understand better general content happi first teari clingi first put soon went son not hungri use lost lot weight begin steadili put back,10.0,Positive
COPD,truli believ allerg med take past year start take anoro ellipta month ago first inhal could feel oxygen hit everi cell bodi best feel world still today feel never use emerg inhal anymor sever copd thought go die everi day year think live anoth,10.0,Positive
Migraine,took medicin certain headach migrain complet gone hour less no side effect insur use cover get lot push back switch relpax also good still struggl insur,10.0,Positive
Birth Control,skyla insert today smaller devic mirena less hormon gynecologist amaz entir procedur minut long insert period not requir schedul happen fall period felt like routin pap dilat cervix elicit pain actual thought skyla insert insert felt like sharp stab definit pain not enough caus tear fleet mild cramp next minut hour later feel great prior go took three mg alev high pain toler,10.0,Positive
Bipolar Disorde,help depress howev bad side effect like low libido also creat manic symptom even lithium even high enough dose realli effect,6.0,Neutral
High Blood Pressure,bystol feet arm numb blood sugar becam sever elev glucos blood pressur pill not good choic diabet condit bystol one week eight week later still suffer foot heel pain howev go back vasotec blood sugar drop back,1.0,Negative
Muscle Spasm,disc diseas take mg night knock medicin help pain muscl spasm sleep well night last next day take day final found good muscl relax side effect notic dri mouth think great,10.0,Positive
Obesity,still work sinc june benefit belviq great weight loss lbs belli shrink inch blood pressur normal feel great feel light get good diet think still macdonald wendi everyday pill fix kind behavior still take commit make easier accomplish,10.0,Positive
Major Depressive Disorde,work great,9.0,Positive
Smoking Cessation,smoke year quit cold turkey month start day chantix start forget smoke would think oh crap ate dinner hour ago smoke hid view forgot alot wife bad side effect not stop smoke get urg alcohol one puff tast like crap,9.0,Positive
Erectile Dysfunction,fantast,10.0,Positive
Ovarian Cysts,start birth control help pcos crazi period period alway day pretti heavi start period day medicin continu day never period long depress made wors sex drive gone dizzi ridicul mood swing never want eat list goe never issu previous two birth control pill use year ago needless say stop medicin not take rather deal horribl day period horribl day period,1.0,Negative
Birth Control,got terribl acn no cramp though no notic mood swing mind weight gain increas breast size howev pill seem alter either one way decid want switch someth increas cup size even littl not caus acn,10.0,Positive
Depression,medic three day miss one day week bodi excruci pain almost withdraw gave fibromyalgia also differ person medic tri care medicin take pain also need sever suicid ideat,2.0,Negative
HIV Infection,diagnos full blown aid june cd viral load million immedi start atripla month later undetect side effect weird dream still rather enjoy call tripl theater,10.0,Positive
Anxiety,first time take ativan start panic attack week ago dr prescrib mg direct say take one twice day gonna take need reason lot review other said could becom addict far work fine attack night boyfriend away work town tend worri lot take care kid n stay home alon around feel safe sleep like charm hope temporari ativan work fast definit life saver,6.0,Neutral
Birth Control,implanon year effect contracept no period year no side effect whatsoev,10.0,Positive
Insomnia,wake hour seem last long wors part hyperpigment face upset bc not mention side effect melatonin caus pigment appear month take tablet,1.0,Negative
"Ulcerative Colitis, Active",rowasa help administ mesalamin rectum lower portion colon ulcer coliti particular activ asacol take gone get far good complement asacol prevent blood otherwis often show stool rather messi though administ hassl tend drip give mild cramp howev go away lie left side minut allow medicin flow coat lower colon work fine use bed,7.0,Neutral
Endometriosis,st x bcp prescrib wait end pack suffer horribl month cramp sinc take alway nauseous fatigu constant irrit mom think sudden act depress never whole life enough want go counsel break seem pill ruthless culprit,1.0,Negative
Obsessive Compulsive Disorde,medic day see terrif chang not yet give light life back love chang think helpabl thought far gone slowli make come back,8.0,Positive
Pain,take medicin three year start mg three time day initi work great year later take mg three time day effect recent ad mg cymbalta within three day feel great better felt year even clean grout bathroom unfortun insur compani pay cymbalta tri everyth els unfortun noth even come close work even kneel even look grout vigor scrub three week ago like life back yank away,8.0,Positive
Birth Control,irregular period long time ortho lo due insur take tri sprintec read lot review scare even give take bleed month felt no choic never got sick felt littl light head no sore breast anyth stomach feel littl weird like med eat least hour take time reach white pill start period aw due fact realli period month could bare work chang super plus tampon everi hour day manag far good though,9.0,Positive
Overactive Bladde,tri everyth includ everi med avail kegel exercis diet modif elimin acid accupunctur noth help final ask test determin treat spasm complet tvt perfect mesh intact leari botox desper get rid pad soak time doctor said would take week back normal within day no pad no frequenc no urg no complic bladder empti feel like poster ladi wonder year old miracl yes bit uncomfort get took mayb minut worth sure urologist board certifi ton procedur consist regular,10.0,Positive
Sinusitis,would never recommend drug anyon took pill hour bed final got bed lay hour nausea get tri take pepto bismol no sooner took got violent ill vomit rest night around no problem take regular amoxicillin whatev els bodi reject strong one minut sweat like degre next chill bad felt like outsid short tank top middl winter like never stay far away drug possibl,1.0,Negative
Birth Control,love birth control switch lo loestrin fe would get two period one week activ pill one placebo doctor said need estrogen dose nervous start various negat review almost finish first pack no horribl side effect first week mild bloat breast tender usual regul bleed gotten no side effect give pill chanc,10.0,Positive
Pneumonia,medic day day woke dizzi condit better th day howev becam wors day,6.0,Neutral
Birth Control,start take tri sprintec teenag never problem switch sprintec break bleed still take sprintec never problem take long becom morn habit need anymor feel old ha,10.0,Positive
Vaginal Yeast Infection,vagina fire never use monistat day treatment honest thought misus much pain liter second insert applic ran bathroom rins vagina cold water die laugh comment worst experi ever omg tear not use garbag,1.0,Negative
Constipation,year back hospit bowel obstruct left hospit bowel movement irregular make movement week forc take stool soften never work dulcalax laxat work becam constip wore went doctor suggest tri miralax gave tri day past gave gas nd day past gas rd day miralax abl bowel movement happi take dulcolax cramp toilet standbi day miralax painless soft stool reliev pressur constip start regular movement,9.0,Positive
Obesity,yr old femal start contrav scale program march start weight today june weigh start pant size today size pcos insulin resist cannot take full dosag per day increas protein urin take per day morn no side effect start medicin not exercis increas daili activ use fit pal app underarmour tri get step per day stay calori per day far amaz progress stun made far one pill per day would definit recommend,10.0,Positive
Obesity,start contrav decemb mild nausea decid stay two pill loos weight took week move pill plan lost lbs date lot weight loos want avoid get put medic got free scale realli like help much check weight everi day crave basic gone medic work hope weight loss continu would like need loos lbs healthi weight,10.0,Positive
Abnormal Uterine Bleeding,shot aw cramp bloat stomach pain bleed sometim intercours make intercours pain without use type lubric make odor random discharg suffer depress make time wors develop depress look get still anoth month left shot,1.0,Negative
Birth Control,got put pill minastrin took away discount card gave taytulla gave four month horribl know pill side effect pretti good put whatev worst mood swing depress fatigu intens general happi person motiv no histori depress pill made want give life go back minastrin pay full price abl back somewhat normal,2.0,Negative
"Sexual Dysfunction, SSRI Induced",viagra work great get littl headach blood pressur drop work great better thought insur would not pay brought oversea cheap,9.0,Positive
"Diabetes, Type 2",ketoacidosi without coma realli wonder emerg room trip doc call time emerg not worri train doc look problem stuff read realli seem play danger drug kill peopl worri math pay back death drug almost kill total effect blood sugar reduc lost weight,1.0,Negative
Pain,ruptur disc back l disk touch sciatic nerv give excruci pain doctor hydrocodon flexeril naproxen no relief pain liter tear work time day day abl sleep pain love girlfriend told ask primari medicin happi level pain morn posit want without feel sciatic pain leg absolut zero pain happi got life back still epidur steroid shot week would like disc heal faster,10.0,Positive
Breast Cance,took tamoxifen year littl side effect weight gain noth could not handl hot flash begin final went away,10.0,Positive
"Constipation, Drug Induced",use opioid year went methadon movantix work within hour not go week time almost regular go everyday lost pound boot happi drug exist no pain first littl intestin cramp move system day regular no cramp miracl fix constip peopl regular take pain med,10.0,Positive
Birth Control,got implanon august novemb bleed non stop sinc septemb complaint,5.0,Neutral
Major Depressive Disorde,truli felt happi sinc around year old last year work notic begun regular emot meltdown panic attack point decid find solut alreadi gone counsel various peopl decid tri medic start low dose mg per day begin made bit tire nauseous mg think pretti good feel like live autopilot emotionless toward mani thing go back mg think go mg realli need tbh though would rather numb go depress,8.0,Positive
Cough,first time pearl prescrib thought miracl drug suppress cough no side effect everi spring fall get chest cold got prescript day ago cough bad day ago constant gastric distress disappoint work time upset tummi dizzi turn go back mucinex robitussin,6.0,Neutral
Major Depressive Disorde,zoloft year pair pristiq last year combin work began feel trap head caus go med time began throw zoloft dr gave advis mg month place mg two week kick found panick receiv call age parent caretak parent taken toll qualiti life improv superior zoloft no trap feel coupl dizzi spell wore time present mg wish nice feel compet must take avoid sleepless,9.0,Positive
Major Depressive Disorde,struggl treatment resist depress year hope would work well first five day extrem reaction third day start fell littl confus no appetit six day way work miss exit highway thing got wors stumbl forget etc way home start jump curb highway tri drive lane oncom traffic confus know direct travel could not get highway put other inlcud much harm thank god pull taken hospit via ambul scare holi crap taken drug immedi,1.0,Negative
Obesity,th week full dose morn even honest feedback first week took side effect get rd day experi migrain headach last half day feel fine effect notic even want drink no liquor wine beer etc week one use drink home complet alcohol th complet week full dose yesterday experi nausea coffe threw feel sick weak today feel not nausea kind littl restless th week quit coffe,10.0,Positive
Depression,absolut love pristiq great energi great sex felt good unfortun suffer side effect empti bladder way meant sleep depriv md thought uti get medicin see urologist clear symptom urologist said common side effect pristiq put flomax coupl week love pristiq hate take,3.0,Negative
Bipolar Disorde,lamict chang life diagnos bipolar friend famili notic massiv chang person never knew life could happi easi,10.0,Positive
Migraine Prevention,drug horribl pros yes destroy appetit lose weight bc also enjoy food made less inclin want cook other note foodi love cook con drug zero migrain take amerg work felt foggi abil abilti concentr morn mg night dosag ok hrs mouth liter dri tongu thick feel could not get syllabl word also grasp word lose confid perform other comment lack snap year short term memori shot perhap bc concentr hair get extens,1.0,Negative
Seizures,take keppra four year no negat side effect weird stuff happen keppra plan take mg daili hope not seizur,10.0,Positive
Epilepsy,use wonder smart son year ago notic chang start take affect life becom agit loos memori no energi told due mani seizur week realli bad week week ago doctor decid take medic hospit control set one day not take medic start see person son come back gotten point made terribl decis depress often confus loos memori abil talk rememb word sorri benefit control seizur not worth,2.0,Negative
Weight Loss,troubl lose weight year belviq realli help experienc side effect except mild headach first coupl day alreadi feel differ shed pound sleep better,10.0,Positive
Osteoarthritis,arthriti neck c c plus sever tmj suffer constant pain neck jaw joint past year doctor prescrib mobic within day pain swell neck jaw disappear almost like miracl tri everi counter anti inflammatori no luck no stomach pain far welcom relief work entir shift no pain,10.0,Positive
Bowel Preparation,omg tast think someon work formula make tast like oh know mayb pina coloda person would rich say hold nose drink lemon wedg readi drank first cocktail pm liquid diet day take long work bad colonoscopi schedul follow morn went bed around woke take nd dose yuck would say suprep suppos procedur piec cake one minut look color smock nurs gone differ room done,8.0,Positive
Spondylolisthesis,not sure neither seventeen doctor seen last twelv year sound like may wrong gabapentin four year take mgs time day along mgs ibuprofen far no side effect no relief pain bone spur remov inner spine pray would help no physic therapi help still look answer spondylolisthesi might someth share,2.0,Negative
Panic Disorde,suffer debilit panic attack mg paxil work wonder tri almost everi ssri paxil one work noth els touch panic,10.0,Positive
Emergency Contraception,mistak happen hour later immedi went bought take action two day later start bleed heavili like period even though period end continu day experienc everi side affect although eat gain lbs felt like cow came no period took multipl test negat period came excruci day late ill take side affect babi tri relax pill work wait period like punish not let happen,10.0,Positive
Birth Control,rd implanon sinc daughter year ago random spot light period everi month year implanon heavier frequent period doctor remov start issu put new one current due rd one taken implanon definit best option,10.0,Positive
Post Traumatic Stress Disorde,medic effect reliev post traumat stress disord side effect like high blood sugar high blood pressur high cholesterol lack bladder control,10.0,Positive
Skin and Structure Infection,need full week regimen staph infect cook year prosthet knee joint antibiot mouth work origin joint remov replac antibiot spacer week infecti diseas specialist said test absolut normal previous week week see orthoped surgeon hope get date remov spacer favor proper prosthet joint no notic side effect previous convalesc facil use differ antibiot experienc lower puls extrem low blood pressur high protim total loss appetit,10.0,Positive
Birth Control,pill approxim month pleas first pill experienc not pregnant yet thank good definit get lot moodier close end pack occasion break bleed half way pack far fine continu use get problem,8.0,Positive
Emergency Contraception,not stress promis work stress no end read bad review probabl even true period came time super heavi buy make sure print coupon onlin stress work,10.0,Positive
Obesity,good suppress habit find leav dri mouth hard bowel movement affect eye,10.0,Positive
Hemorrhoids,two month suffer tri counter ointment cream suppositori witch hazel pad sitz bath tub soak condit get wors not mention ointment cream set fire final sought medic attent doctor offic two dose abl final sleep without awaken irrit symptom never without use time day past day howev appoint colonoscopi make sure no intern issu need address due sever condit,10.0,Positive
Acne,start novemb skin clear month march first week easi even pea size amount use everi day skin still itchi blotchi turn cetaphil moistur import weapon fight epiduo strong dri face use pea size amount need refil everi month use much one bottl last month not also break first month dirt clog stuff drain import bash epiduo might impati want clear skin asap learn add routin turn moistur,10.0,Positive
Bacterial Skin Infection,first prescrib augmentin infect punctur wound near nail bed thumb made feel like suffer morn sick not work next got flagyl bactrim cultur show staph sensit bactrim wound much better yes side effect insomnia know flagyl bactrim much better lose finger also took florastor medic reduc intestin upset experienc none,10.0,Positive
Birth Control,rd day nexplenon birth control method sever migrain sinc day insert taken kind pill budg migrain suffer pretti much know keep control sever eye pain feel like head heavi pound throb pain get bed take asap tri depo pill never side effect sever,1.0,Negative
Obsessive Compulsive Disorde,use read contempl obsess whether not take medic prozac given life back life no longer struggl enjoy not miracl drug still put work therapi realli help time feel wave anxieti come use last day sleepless night almost feel medic work next thing know step road worri side effect begin dose headach not get full night sleep pass say side effect feel good forgot take prozac get life back tri,9.0,Positive
High Blood Pressure,dizzi not given full inform medic physician done medic search internet,5.0,Neutral
Renal Cell Carcinoma,lost first kidney year ago two month ago cancer found remain kidney metastas brain lung gamma knife surgeri brain tumor start votrient month ago side effect includ fatigu high blood pressur far well milligram lost pound know need eat regular meal order keep strength also help fatigu far lab work look good look best result votrient,10.0,Positive
Birth Control,seasoniqu almost year love light spot first month two no problem sinc period much shorter less sever cramp start take would get extrem sick period heavi bleed start pill help much happi,10.0,Positive
Insomnia,medic use normal take favorit sleep aid ambien xr use belsomra take break work max dose mg side effect absolut dead energi next day worst wake would recommend tri sampl see goe hit miss,3.0,Negative
Anxiety,clonazepam klonopin work wonder anxieti love nonaddict not need take everyday work stress day handl boarderlin person disord happen lot take pill two eas edg feel anger still relax tension mind bodi rid potenc anger toler also cover medicaid without insur cost prescript mg pill month less,8.0,Positive
Depression,wife major mood swing irrit would stay angri day smallest thing no sex drive tire time hour take pill differ person happi affection less tire funni easi go miracl said alway felt though live life water cloud medicin made thing clear wonder side effect bruis,10.0,Positive
Vaginal Yeast Infection,far taken day pack use wipe follow suppositori final cream mild itch burn overal tremend relief compar symptom yi experienc minor cramp resolv tylenol,8.0,Positive
Pain,jaw broken two place car wreck doctor gave tramadol percocet percocet wonder drug bad name other abus took pain away total not upset stomach percocet great pain harder get drug danger,10.0,Positive
Bipolar Disorde,made asthma better,10.0,Positive
Birth Control,year old take aless year done wonder period no cramp bloat period much lighter manag acn problem weight gain mood affect believ around time get period tender breast feel someth accident hit pain notic disturb anoth plus pill extrem small easi swallow hate take pill definit recommend pill,8.0,Positive
Anxiety,medic god send chronic battl anxieti depress much safer altern also much less expens medicin barbitu xanax work well sever fellow patient suffer anxieti,9.0,Positive
Social Anxiety Disorde,best medicin ever taken tablet work best,10.0,Positive
Insomnia,chronic unmanag insomnia almost year took life never thought would reach point doctor no longer see gave huge amount medicin put mental hospit day found sleep specialist confirm not crazi tri medicin work get rough hour per night year final tri medicin wow not perfect ill ill struggl long time get better life disast long cri everi singl day begin feel like hope,8.0,Positive
Obesity,start march pound day march chang eat habit much find get full quick never experienc side effect take belviq take day guy post outcom,10.0,Positive
Bladder Infection,start nifurantoin friday fifth dose start headach chill flu like symptom sever low back pain thought move kidney took two dose went dr monday insan low back pain joint pain bodi thought mayb flu told nurs symptom said medic urin show no infect dr confirm chang medicin tell patient react way look feel like flu today day five still bad low back pain wonder long last horribl dr warn patient,4.0,Negative
Bipolar Disorde,post concuss lead explos outburst withdraw activ use enjoy addict behavior worri skin rash evid clear slowli titrat risk low experienc cognit sluggish muscl cramp mg annoy drug save marriag job allow becom self reflect rather self hate also experienc anoth welcom side effect um er astonish sexual pleasur told doc smile said small percentag patient side effect glad drug work well mani regard,8.0,Positive
Acne,great far finish month cycl month start take face acn gone back acn gone month lot scar though consid back terribl stop thought would come back not realli hope skin dri noth handl lot lip chap face moistur side effect red face still month stop great hope keep say futur,9.0,Positive
Birth Control,new nuvar use month side effect cramp spot worst yeast infect actual like bodi still get use understand hope work funni experi take third week finger pretti small reach time tri,8.0,Positive
Emergency Contraception,usual spend time write review know read type review eas mind review help much know hard not get stress worri fine taken pill witch time limit earlier better bf sex condom broke came freak went get take action anoth brand took within hour experi much side effect except slight cramp slight sore breast stress day later experienc spot black brown discharg came littl next day got period terribl cramp worth,10.0,Positive
Abnormal Uterine Bleeding,wish read review product rather follow md recommend mirena place control extrem heavi long period day sinc spend time bleed not confid anyth would better wrong serious consid remov even mean go back aw period period light manag still consist day long worst part weight gain mood swing despit train marathon includ often burn calori singl run continu gain weight bloat unsight frustrat mood swing huge impact famili,2.0,Negative
Psoriatic Arthritis,went yesterday morn receiv first infus remicad iv insert arm vital check begin everi minut time leav doctor pm take first time take long kind downsid got littl sleepi read common pm follow day first infus felt singl ounc pain joint understand hour later usual lot pain morn morn stiff got bed morn pleas far,9.0,Positive
"Crohn's Disease, Maintenance",husband take pentasa day terribl side effect sinc day one crohn becom progress wors year gi doctor prescrib pentasa chest pain headach sever nausea vomit well loss appetit saw one person lower dose week wonder due experi effect also know pentasa great potenti long effect last,5.0,Neutral
Depression,start take mg twice day start feel differ sinc day first night woke middl night agit vivid dream got wors day went point could not differenti dream realiti lot troubl wake day feel hope start thing stop day approx major panic attack work feel like choke due lack oxigen start hyperventil never experienc life long stori short end er night even though paramed suggest gonna go away still want check horribl experi,1.0,Negative
acial Wrinkles,help sad line mouth look great cheek filler bruis would say oddest reaction no appetit three day,7.0,Neutral
Obesity,contrav month lost lbs due entir medic mean thing use work w trainer time week year stop go gym entir still lost weight order food eat stop obsess eat warn not drink contrav glass wine offer often sinc wine biz throw night day hangov know go drink skip afternoon go wed vaca stop take notic huge chang eat skip day,9.0,Positive
Birth Control,pill loestrin month problem pill mild acn would small breakout everi week never acn breakout life luckili not affect weight anyth els,8.0,Positive
ibromyalgia,put take lyrica afraid side effect eventu nerv pain got point no choic complet debilit sear burn pain no relief pain med touch sleep pain bad cloth hurt soft feather light brush skin stung burn minut contact intens consist present burn three week lyrica final found relief worst left far burn goe complet toler cours noth symptom grate cave concern weight gain signific crave sweet,7.0,Neutral
ibromyalgia,lyrica big life changer thank good found dr prescrib terribl pain bad fatigu live life kid keep say everyth perfect pretti darn close hard pain fatigu decreas take mg twice day pray everyon fibro keep work find someth work,10.0,Positive
Seizures,take dilantin two week far no problem hope,9.0,Positive
Weight Loss,struggl weight life due need total knee replac alreadi tri lose lbs need surgeri littl success thank good restart victoza octob sinc blood sugar consist littl appetit along nausea daili shot eat littl shock find lbs sinc oct th honest believ due victoza diurect excess water retent thank victoza,8.0,Positive
Motion Sickness,someon get sick look water ride go around around patch great st cruis boat sway felt noth hour patch remov use day switch new one day feel horrid nausea constant day patch remov also suffer sever exhaust blur vision much better deal motion sick use not sure not thrown sever headach mayb end justifi mean,8.0,Positive
Birth Control,birth control month best month four year birth control extrem horribl period anyth think happen experi sever other symptom start wors clear right away tri stick bodi get use period went day day love,7.0,Neutral
Hot Flashes,age breast cancer radiat treatment later decid not prescrib post cancer med continu menopaus hot spell oncologist prescrib venlafaxin mg two time day rn kept hair dryer locker hair would becom drippi wet hot spell not experi hot spell longer mood total better posit know sound weird miss dose mood plummet trip terribl reaction ran prescript went without venlafaxin day doctor knew immedi withdraw yucki space symptom,10.0,Positive
Irritable Bowel Syndrome,suffer ib year use abl manag not eat trigger occasion imodium last six month gotten much wors eat without run bathroom within minut go eat horribl bare could make home start caus major anxieti time almost make spasm would last day could hard eat anyth would take imodium go go keep diarrhea away live normal test doctor put viberzi miracl drug given life back,10.0,Positive
Anxiety,lost darl husband week ago doctor gave lorazepam mg still get upset much better cri not eat make feel much wors pill god send,9.0,Positive
Osteoarthritis,wonder,8.0,Positive
Osteoarthritis,osteoarthr right knee eventu lead bone bone last scope nov pain persist steroid inject reliev pain month consid non effect accord fda excruci pain return last nonsurg option orthovisc inject pain experi relief week last inject pain free occasion brief episod second pain octob wear month worth no pain definit worth glad tough,10.0,Positive
Rheumatoid Arthritis,year age diagnos rheumatoid arthriti incapacit everi day sinc diagnosi last year difficulti drive walk shop lead normal life led poor qualiti life due constant pain depress start take humira week ago one week commenc woke feel strang took hour work complet pain free hope continu effect chang life complet,10.0,Positive
Psoriatic Arthritis,exhaust option medic cimzia work well better eas use could better support great,9.0,Positive
Depression,wellbutrin mg major improv low dose year quieten thought inadequaci dark without muffl person life natur high low initi tri prozac depress relat mid life anxieti first good week mask emot no high no low,10.0,Positive
Acne,month ago major breakout chin never problem acn number topic cream antibiot without result anyth breakout wors week away start accutan last resort doctor gave atralin took two week saw much improv work wonder burn like topic cream make wors better like one use atralin coupl month skin clear complet mayb two three small blemish sinc even gone within day two high recommend,10.0,Positive
Psoriasis,offer immedi relief overnight patch start heal,10.0,Positive
